Date,Closing_Price,Highest_Price_Of_the_Day,Lowest_Price_Of_The_Day,Opening_Price_Of_The_Day,Volume_Sold
12-12-2014,3.493254185,3.542854266,3.312568874,3.312568874,43200
15-12-2014,3.475540876,3.542854972,3.447197726,3.528683566,4400
16-12-2014,3.362168312,3.539311009,3.333825508,3.457825531,36800
17-12-2014,3.528683662,3.528683662,3.4046836,3.418855007,28400
18-12-2014,3.457825422,3.528682431,3.436568151,3.500339628,15400
19-12-2014,3.535767794,3.535767794,3.413539586,3.518053796,20800
22-12-2014,3.514513016,3.542855835,3.42594162,3.542855835,4800
23-12-2014,3.443655252,3.535769228,3.422397973,3.535769228,2600
24-12-2014,3.433026552,3.539312276,3.425941017,3.482272556,60000
26-12-2014,3.390512228,3.535769233,3.390512228,3.454283728,61200
29-12-2014,3.436569214,3.454283556,3.418854872,3.418854872,2000
30-12-2014,3.443655252,3.53222663,3.418855037,3.418855037,8400
31-12-2014,3.532225847,3.532225847,3.431963073,3.431963073,16800
02-01-2015,3.532225847,3.542854316,3.475540232,3.475540232,4200
05-01-2015,3.532225847,3.532225847,3.422397215,3.482625765,20400
06-01-2015,3.404683113,3.521597287,3.394054644,3.521597287,13200
07-01-2015,3.525140047,3.532225918,3.404682944,3.404682944,11400
08-01-2015,3.450740576,3.471997854,3.450740576,3.471997854,2000
09-01-2015,3.440112829,3.450741301,3.440112829,3.440112829,1400
12-01-2015,3.471998453,3.471998453,3.471998453,3.471998453,200
13-01-2015,3.486169577,3.528683799,3.404683731,3.48262664,13600
14-01-2015,3.500340462,3.518054803,3.489711992,3.510968931,4000
15-01-2015,3.408226252,3.535768902,3.408226252,3.525140432,33200
16-01-2015,3.433026552,3.454283832,3.408226674,3.408226674,18800
20-01-2015,3.459597588,3.471997524,3.440111779,3.454283184,20200
21-01-2015,3.5074265,3.521597908,3.46136968,3.486169558,69200
22-01-2015,3.482626677,3.507426555,3.454283862,3.507426555,19600
23-01-2015,3.482626677,3.527266796,3.47908374,3.525140899,8400
26-01-2015,3.574740887,3.627883579,3.479083636,3.479083636,127200
27-01-2015,3.613711834,3.62788324,3.542854805,3.542854805,49800
28-01-2015,3.620797873,3.627883407,3.560569311,3.560569311,33000
29-01-2015,3.649139881,3.649139881,3.613711204,3.613711204,14200
30-01-2015,3.702284098,3.702284098,3.624341179,3.624341179,10600
02-02-2015,3.681026936,3.705826816,3.666855527,3.670398126,10200
03-02-2015,3.631781101,3.684569367,3.626112268,3.677483832,10800
04-02-2015,3.623632669,3.649141409,3.613712717,3.613712717,10200
05-02-2015,3.805026054,3.843997674,3.642054717,3.642054717,54800
06-02-2015,3.801484585,3.826284808,3.787313173,3.826284808,19600
09-02-2015,3.797941208,3.861712377,3.769598391,3.861712377,5600
10-02-2015,3.642055511,3.897141213,3.638512913,3.843998513,34600
11-02-2015,3.560570478,3.794398929,3.546399067,3.794398929,65000
12-02-2015,3.59599781,3.642054967,3.578283805,3.578283805,7800
13-02-2015,3.642055511,3.642055511,3.571198466,3.571198466,6600
17-02-2015,3.56411171,3.659768604,3.560568774,3.592454518,48400
18-02-2015,3.548877001,3.60662556,3.542854079,3.549939949,28200
19-02-2015,3.525140047,3.578283066,3.525140047,3.525140047,37200
20-02-2015,3.592454433,3.592454433,3.489711671,3.525140012,10800
23-02-2015,3.5074265,3.52868378,3.5074265,3.525140844,30400
24-02-2015,3.527976036,3.527976036,3.525141619,3.525141619,5800
25-02-2015,3.535767794,3.561276518,3.486168059,3.532225197,86400
26-02-2015,3.585370302,3.686696075,3.535770196,3.539313133,11000
27-02-2015,3.642055511,3.642055511,3.581826938,3.606627158,28200
02-03-2015,3.790855885,3.808570232,3.613713083,3.663313189,51600
03-03-2015,3.716454506,3.790854468,3.705826036,3.790854468,17000
04-03-2015,3.698741436,3.71999872,3.695198837,3.71999872,13000
05-03-2015,3.631425858,3.70228288,3.624339986,3.695197347,11200
06-03-2015,3.567653894,3.65976818,3.546396959,3.63496831,12200
09-03-2015,3.588911533,3.592454469,3.564111661,3.564111661,20600
10-03-2015,3.624516249,3.642318119,3.574670128,3.596032848,13000
11-03-2015,3.624516249,3.649439139,3.603153529,3.649439139,4800
12-03-2015,3.596033812,3.620956709,3.581792108,3.585352279,57600
13-03-2015,3.631638527,3.81678105,3.588913408,3.603155114,127000
16-03-2015,3.596033812,3.631637902,3.560429382,3.624517219,19600
17-03-2015,3.596033812,3.649440116,3.560429382,3.560429382,16600
18-03-2015,3.596033812,3.649440116,3.574671086,3.585352279,38200
19-03-2015,3.596033812,3.617396198,3.581792108,3.617396198,5800
20-03-2015,3.702846289,3.70996731,3.613835557,3.613835557,67200
23-03-2015,3.649440765,3.677924178,3.620957352,3.649440765,20000
24-03-2015,3.649440765,3.649440765,3.649440765,3.649440765,0
25-03-2015,3.734889269,3.738449779,3.665461024,3.734889269,76600
26-03-2015,3.663680315,3.788295428,3.617394711,3.788295428,19000
27-03-2015,3.656560898,3.688604475,3.649439877,3.688604475,22000
30-03-2015,3.745570898,3.745570898,3.677922567,3.677922567,2800
31-03-2015,3.774054766,3.774054766,3.66012081,3.66012081,11000
01-04-2015,3.645878792,3.855944133,3.631637091,3.777614609,36200
02-04-2015,3.588911533,3.666884861,3.588911533,3.666884861,7400
06-04-2015,3.617395401,3.663681014,3.61027472,3.61027472,12800
07-04-2015,3.610274792,3.613834962,3.596033091,3.596033091,1400
08-04-2015,3.645878792,3.645878792,3.578230798,3.578230798,2800
09-04-2015,3.631638527,3.631638527,3.631638527,3.631638527,9000
10-04-2015,3.624516249,3.624516249,3.624516249,3.624516249,800
13-04-2015,3.656560898,3.656560898,3.620956471,3.631637663,25000
14-04-2015,3.649440765,3.649440765,3.628078036,3.63875957,19400
15-04-2015,3.677922726,3.734889529,3.610274732,3.628076603,42000
16-04-2015,3.699287653,3.703204013,3.578232954,3.585353639,25200
17-04-2015,3.688604116,3.702845818,3.645879012,3.702845818,10600
20-04-2015,3.68148303,3.688603711,3.65656014,3.65656014,5400
21-04-2015,3.770494223,3.791856606,3.670802309,3.670802309,20000
22-04-2015,3.770494223,3.806098308,3.709966905,3.709966905,11600
23-04-2015,3.841702461,3.85380806,3.774054467,3.788296168,36400
24-04-2015,3.827460051,3.855943447,3.827460051,3.855943447,4200
27-04-2015,3.76693368,3.76693368,3.76693368,3.76693368,2000
28-04-2015,3.677922726,3.738450039,3.667241535,3.738450039,1800
29-04-2015,3.677922726,3.677922726,3.677922726,3.677922726,0
30-04-2015,3.76693368,3.863065421,3.667241767,3.777614871,22600
01-05-2015,3.734889269,3.742010289,3.7252763,3.738449779,3800
04-05-2015,3.809658051,3.809658051,3.734889046,3.738093369,11400
05-05-2015,3.76693368,3.819272095,3.667241767,3.816779805,28600
06-05-2015,3.7882967,3.7882967,3.667242055,3.713527675,33200
07-05-2015,3.8773067,4.090932203,3.791856159,3.791856159,63600
08-05-2015,3.848823547,3.887988141,3.845263037,3.863065248,30000
11-05-2015,3.848823547,3.866625419,3.798977424,3.798977424,18400
12-05-2015,3.866708517,3.866708517,3.866708517,3.866708517,0
13-05-2015,3.909631014,3.966862519,3.870284098,3.870284098,48200
14-05-2015,3.916785955,3.966863708,3.884593139,3.963286652,19400
15-05-2015,3.916785955,3.963286652,3.861342961,3.963286652,55400
18-05-2015,3.916785955,3.945401716,3.902478075,3.902478075,6000
19-05-2015,3.830938816,3.945401864,3.818061621,3.873862459,12000
20-05-2015,3.920363665,3.934671548,3.827362255,3.827362255,7800
21-05-2015,3.830938816,3.920363158,3.827361761,3.891747396,4800
22-05-2015,3.916785955,3.923940066,3.916785955,3.923940066,400
26-05-2015,3.916785955,3.916785955,3.916785955,3.916785955,0
27-05-2015,3.881015062,3.931092456,3.881015062,3.931092456,2800
28-05-2015,3.845245838,3.920362282,3.845245838,3.845245838,11400
29-05-2015,3.845245838,3.845245838,3.845245838,3.845245838,0
01-06-2015,3.848823547,3.848823547,3.848823547,3.848823547,600
02-06-2015,3.745090485,3.909631241,3.723628498,3.909631241,5200
03-06-2015,3.855978489,3.923941197,3.730784584,3.730784584,4400
04-06-2015,3.827719927,3.827719927,3.748668562,3.748668562,1600
05-06-2015,3.845245838,3.845245838,3.759398571,3.766552339,5600
08-06-2015,3.827361107,3.827361107,3.827361107,3.827361107,4400
09-06-2015,3.827361107,3.827361107,3.748667604,3.823784052,2000
10-06-2015,3.802321672,3.80947544,3.730782293,3.777282975,3400
11-06-2015,3.752244711,3.841669039,3.752244711,3.805899512,9800
12-06-2015,3.752244711,3.752244711,3.752244711,3.752244711,0
15-06-2015,3.773706675,3.841669013,3.748667631,3.748667631,19000
16-06-2015,3.723987818,3.782650035,3.72005292,3.723629976,5400
17-06-2015,3.820207357,3.923939563,3.67712823,3.67712823,29400
18-06-2015,3.798746824,3.841670477,3.698591635,3.702168692,4800
19-06-2015,3.845245838,3.93467016,3.827360906,3.931093105,18800
22-06-2015,3.809477568,3.845247448,3.7808618,3.845247448,8000
23-06-2015,3.809477568,3.809477568,3.809477568,3.809477568,0
24-06-2015,3.755822182,3.791592053,3.755822182,3.777284173,7000
25-06-2015,3.788015366,3.970441114,3.759399602,3.770130428,13600
26-06-2015,3.809477568,3.855978275,3.788015912,3.788015912,13600
29-06-2015,3.773706675,3.798745377,3.762975851,3.791591608,11200
30-06-2015,3.745090485,3.823783638,3.737936376,3.755821307,5000
01-07-2015,3.805899858,3.823784453,3.680705652,3.823784453,1600
02-07-2015,3.809477568,3.809477568,3.791592969,3.805900853,31800
06-07-2015,3.773706675,3.784437498,3.77012962,3.773706675,11800
07-07-2015,3.687859535,3.773706811,3.68428248,3.752244821,6400
08-07-2015,3.734360218,3.816630787,3.680705752,3.680705752,30800
09-07-2015,3.734360218,3.755822209,3.702167743,3.755822209,9800
10-07-2015,3.755822182,3.755822182,3.741514301,3.741514301,2200
13-07-2015,3.720053434,3.720053434,3.669976008,3.669976008,5200
14-07-2015,3.751887798,3.752245299,3.680705894,3.68428295,11400
15-07-2015,3.752244711,3.752244711,3.730783063,3.730783063,3000
16-07-2015,3.687859535,3.770129755,3.68428248,3.748667766,9800
17-07-2015,3.755822182,3.755822182,3.755822182,3.755822182,3600
20-07-2015,3.805899858,3.809476573,3.677128596,3.755822108,10000
21-07-2015,3.830938816,3.830938816,3.737937419,3.737937419,14200
22-07-2015,3.755822182,3.8595544,3.741514301,3.752245126,15000
23-07-2015,3.748667479,3.755821588,3.748667479,3.755821588,2400
24-07-2015,3.882089615,3.882089615,3.673552315,3.698591022,39400
27-07-2015,3.788015366,3.827361955,3.788015366,3.802323247,7000
28-07-2015,3.77013135,3.795170063,3.77013135,3.791593348,6800
29-07-2015,3.741513968,3.766552671,3.741513968,3.762975957,22800
30-07-2015,3.780861378,3.786584804,3.737937731,3.737937731,800
31-07-2015,3.755822182,3.791592053,3.737937246,3.755822182,21200
03-08-2015,3.755822182,3.827361584,3.755822182,3.809476648,11400
04-08-2015,3.759398937,3.809476344,3.755821882,3.755821882,8200
05-08-2015,3.827361107,3.844172856,3.791591581,3.813053228,12200
06-08-2015,3.777285099,3.791592983,3.752246046,3.762977215,39000
07-08-2015,3.73972559,3.809476461,3.720052127,3.759399052,53800
10-08-2015,3.801250219,3.802323404,3.801250219,3.802323404,4800
11-08-2015,3.773706675,3.773706675,3.752244686,3.755821741,5800
12-08-2015,3.766552925,3.791591971,3.72005223,3.730783395,4200
13-08-2015,3.759398937,3.773706816,3.737936948,3.737936948,8400
14-08-2015,3.759398937,3.791591751,3.755821882,3.788014696,7600
17-08-2015,3.745090485,3.755821307,3.684281922,3.684281922,10400
18-08-2015,3.816631794,3.83809345,3.634206014,3.741515316,54000
19-08-2015,3.741513968,3.818418946,3.737936912,3.818418946,6200
20-08-2015,3.795169115,3.795169115,3.784438289,3.784438289,3800
21-08-2015,3.788015366,3.845246893,3.755822546,3.845246893,12000
24-08-2015,3.766552925,3.830938556,3.766552925,3.830938556,10000
25-08-2015,3.709321976,3.809477152,3.709321976,3.809477152,4400
26-08-2015,3.702167749,3.752245161,3.687859869,3.752245161,4200
27-08-2015,3.702167749,3.702167749,3.702167749,3.702167749,0
28-08-2015,3.67712903,3.734360557,3.576973858,3.576973858,3600
31-08-2015,3.773706675,3.773706675,3.695013171,3.695013171,21000
01-09-2015,3.755822182,3.791592053,3.695013605,3.791592053,9400
02-09-2015,3.755822182,3.762976292,3.723629366,3.730783476,4800
03-09-2015,3.755822182,3.755822182,3.68428278,3.68428278,5800
04-09-2015,3.805899858,3.805899858,3.755822108,3.755822108,25400
08-09-2015,3.891747952,3.974018194,3.773707831,3.798746541,137400
09-09-2015,3.873862505,3.948978967,3.863131679,3.902478267,48600
10-09-2015,3.802321672,3.873861052,3.759398045,3.855976122,73000
11-09-2015,3.859554529,3.920363108,3.687859959,3.780861014,78000
14-09-2015,4.006209373,4.024094305,3.881015533,3.884592247,45200
15-09-2015,4.023379803,4.024095146,3.981171505,3.981171505,29600
16-09-2015,4.077749252,4.11351912,4.024094792,4.024094792,28000
17-09-2015,4.113518715,4.113518715,4.07774885,4.10994166,26600
18-09-2015,4.052710056,4.238712801,4.049133002,4.149288483,100800
21-09-2015,4.192213058,4.217251764,4.041980143,4.041980143,35000
22-09-2015,4.123959541,4.163475054,4.095221174,4.131144305,18000
23-09-2015,4.091628551,4.109589772,4.037743863,4.102405352,22800
24-09-2015,4.195804596,4.238912135,4.131143116,4.138327877,54600
25-09-2015,4.228136539,4.27483613,4.220951776,4.238913342,28000
28-09-2015,4.228136539,4.238913342,4.04852157,4.188621027,33000
29-09-2015,4.077258587,4.210173579,4.077258587,4.210173579,4800
30-09-2015,4.15269804,4.15988246,3.998229064,4.113182529,25600
01-10-2015,4.113181114,4.120365875,4.105996696,4.120365875,1800
02-10-2015,4.185028076,4.238912765,4.091628565,4.095220604,18600
05-10-2015,4.253281116,4.274834714,4.210173579,4.210173579,56600
06-10-2015,4.404158115,4.517674744,4.220950807,4.228135568,62800
07-10-2015,4.540666103,4.69154269,4.368235572,4.404158699,70000
08-10-2015,4.669989109,4.766981355,4.479597341,4.479597341,38800
09-10-2015,4.669989109,4.846011693,4.580181626,4.723873462,11400
12-10-2015,4.849603176,4.860379976,4.60173472,4.666395863,5200
13-10-2015,4.759795666,4.849603131,4.3179431,4.849603131,23600
14-10-2015,4.727465153,4.759795897,4.555034975,4.756203516,6000
15-10-2015,4.70591259,4.723873814,4.6161051,4.723873814,16600
16-10-2015,4.799310684,4.867564548,4.669988061,4.669988061,27000
19-10-2015,4.914265156,4.914265156,4.634065586,4.824457681,47400
20-10-2015,5.011257648,5.205241804,4.817273492,4.817273492,22400
